Date,Value
1997,95.7465
1998,99.4942
1999,98.8548
2000,100.6651
2001,99.0634
2002,100.2247
2003,96.7716
2004,101.586
2005,100.3778
2006,101.2497
2007,103.7162
2008,91.1358
2009,80.6333
2010,80.3944
2011,79.9439
2012,83.0088
2013,81.4059
2014,86.9354
2015,91.3813
2016,81.9531
2017,77.3065
2018,78.4221
2019,78.0696
2020,78.0012
2021,81.4036
2022,79.6743
2023,80.4936
2024,83.6113
1997 Q1,92.5726
1997 Q2,94.8728
1997 Q3,97.1647
1997 Q4,98.3758
1998 Q1,100.4944
1998 Q2,100.3815
1998 Q3,100.0379
1998 Q4,97.063
1999 Q1,97.152
1999 Q2,99.0586
1999 Q3,98.6712
1999 Q4,100.5375
2000 Q1,102.2035
2000 Q2,100.9823
2000 Q3,99.3371
2000 Q4,100.1377
2001 Q1,98.1356
2001 Q2,99.2273
2001 Q3,99.2594
2001 Q4,99.6313
2002 Q1,100.1794
2002 Q2,99.2276
2002 Q3,100.4933
2002 Q4,100.9985
2003 Q1,98.3904
2003 Q2,95.8185
2003 Q3,95.5756
2003 Q4,97.3017
2004 Q1,101.6172
2004 Q2,102.3277
2004 Q3,102.1036
2004 Q4,100.2955
2005 Q1,100.6809
2005 Q2,101.584
2005 Q3,99.7212
2005 Q4,99.525
2006 Q1,98.7778
2006 Q2,100.1995
2006 Q3,102.3051
2006 Q4,103.7163
2007 Q1,104.7243
2007 Q2,104.2312
2007 Q3,104.3586
2007 Q4,101.5508
2008 Q1,95.8724
2008 Q2,93.0504
2008 Q3,91.6517
2008 Q4,83.9687
2009 Q1,77.8965
2009 Q2,81.3212
2009 Q3,82.9269
2009 Q4,80.3886
2010 Q1,79.6194
2010 Q2,79.8981
2010 Q3,81.7638
2010 Q4,80.2965
2011 Q1,80.8192
2011 Q2,79.4364
2011 Q3,79.2172
2011 Q4,80.303
2012 Q1,81.1729
2012 Q2,83.1546
2012 Q3,84.0808
2012 Q4,83.6268
2013 Q1,80.3229
2013 Q2,80.5181
2013 Q3,81.2328
2013 Q4,83.5499
2014 Q1,85.5623
2014 Q2,86.8969
2014 Q3,88.0024
2014 Q4,87.28
2015 Q1,89.3788
2015 Q2,91.1714
2015 Q3,92.8411
2015 Q4,92.1341
2016 Q1,86.9529
2016 Q2,85.5019
2016 Q3,78.8059
2016 Q4,76.5517
2017 Q1,77.0395
2017 Q2,77.9399
2017 Q3,76.5529
2017 Q4,77.6936
2018 Q1,79.0131
2018 Q2,79.0885
2018 Q3,77.8032
2018 Q4,77.7834
2019 Q1,78.7401
2019 Q2,78.3714
2019 Q3,75.7641
2019 Q4,79.4028
2020 Q1,79.227
2020 Q2,77.4012
2020 Q3,77.4539
2020 Q4,77.9225
2021 Q1,80.4487
2021 Q2,81.7835
2021 Q3,81.7658
2021 Q4,81.6163
2022 Q1,82.3364
2022 Q2,80.1634
2022 Q3,78.134
2022 Q4,78.0635
2023 Q1,78.1533
2023 Q2,80.4253
2023 Q3,82.199
2023 Q4,81.1968
2024 Q1,82.5725
2024 Q2,82.95
2024 Q3,84.3217
2024 Q4,84.601
2025 Q1,85.8816
2025 Q2,85.4452
2025 Q3,84.9822
1997 JAN,91.977
1997 FEB,92.9298
1997 MAR,92.811
1997 APR,94.6524
1997 MAY,94.3993
1997 JUN,95.5668
1997 JUL,99.1108
1997 AUG,97.0244
1997 SEP,95.359
1997 OCT,96.3607
1997 NOV,99.1779
1997 DEC,99.5889
1998 JAN,100.1186
1998 FEB,99.838
1998 MAR,101.5267
1998 APR,101.7932
1998 MAY,98.6985
1998 JUN,100.6528
1998 JUL,100.5671
1998 AUG,100.0982
1998 SEP,99.4485
1998 OCT,97.2314
1998 NOV,97.0023
1998 DEC,96.9554
1999 JAN,96.056
1999 FEB,96.8805
1999 MAR,98.5195
1999 APR,98.5428
1999 MAY,99.3302
1999 JUN,99.3028
1999 JUL,98.12
1999 AUG,98.36
1999 SEP,99.5335
1999 OCT,100.3909
1999 NOV,100.3024
1999 DEC,100.9193
2000 JAN,102.5163
2000 FEB,102.1478
2000 MAR,101.9463
2000 APR,103.3007
2000 MAY,101.3378
2000 JUN,98.3084
2000 JUL,99.0767
2000 AUG,100.188
2000 SEP,98.7465
2000 OCT,101.3391
2000 NOV,99.6623
2000 DEC,99.4118
2001 JAN,98.2362
2001 FEB,97.7179
2001 MAR,98.4528
2001 APR,99.074
2001 MAY,99.3906
2001 JUN,99.2172
2001 JUL,99.7551
2001 AUG,98.4283
2001 SEP,99.5949
2001 OCT,99.3536
2001 NOV,99.4505
2001 DEC,100.0899
2002 JAN,100.26
2002 FEB,100.4838
2002 MAR,99.7945
2002 APR,100.5217
2002 MAY,99.1553
2002 JUN,98.0057
2002 JUL,100.1562
2002 AUG,100.0907
2002 SEP,101.2329
2002 OCT,101.4447
2002 NOV,100.8857
2002 DEC,100.6652
2003 JAN,99.8966
2003 FEB,98.4726
2003 MAR,96.8021
2003 APR,95.9557
2003 MAY,94.8862
2003 JUN,96.6136
2003 JUL,95.9155
2003 AUG,95.2462
2003 SEP,95.5651
2003 OCT,96.7185
2003 NOV,97.317
2003 DEC,97.8697
2004 JAN,100.1608
2004 FEB,102.5025
2004 MAR,102.1884
2004 APR,102.137
2004 MAY,101.7871
2004 JUN,103.059
2004 JUL,103.1662
2004 AUG,102.4289
2004 SEP,100.7156
2004 OCT,99.8303
2004 NOV,99.7587
2004 DEC,101.2974
2005 JAN,100
2005 FEB,100.9792
2005 MAR,101.0634
2005 APR,102.0108
2005 MAY,100.9896
2005 JUN,101.7515
2005 JUL,98.8169
2005 AUG,99.7011
2005 SEP,100.6456
2005 OCT,99.6486
2005 NOV,99.4195
2005 DEC,99.507
2006 JAN,99.0583
2006 FEB,98.9168
2006 MAR,98.3583
2006 APR,98.3764
2006 MAY,101.2654
2006 JUN,100.9566
2006 JUL,100.9425
2006 AUG,102.9585
2006 SEP,103.0143
2006 OCT,103.1454
2006 NOV,103.4687
2006 DEC,104.5347
2007 JAN,105.5742
2007 FEB,105.0314
2007 MAR,103.5672
2007 APR,104.2757
2007 MAY,103.9116
2007 JUN,104.5064
2007 JUL,105.2358
2007 AUG,104.5358
2007 SEP,103.3043
2007 OCT,102.8115
2007 NOV,101.8979
2007 DEC,99.9431
2008 JAN,96.6526
2008 FEB,96.1707
2008 MAR,94.7938
2008 APR,93.0102
2008 MAY,93.0109
2008 JUN,93.1301
2008 JUL,93.2519
2008 AUG,91.6756
2008 SEP,90.0276
2008 OCT,89.6325
2008 NOV,83.8163
2008 DEC,78.4573
2009 JAN,77.2854
2009 FEB,79.1636
2009 MAR,77.2405
