country,purpose_class,active_objects,share
Algeria,Communications,1,0.16666666666666666
Algeria,Earth Observation & Meteorology,4,0.6666666666666666
Algeria,Science & Technology,1,0.16666666666666666
Argentina,Communications,4,0.3076923076923077
Argentina,Earth Observation & Meteorology,3,0.23076923076923078
Argentina,Other,5,0.38461538461538464
Argentina,Science & Technology,1,0.07692307692307693
Australia,Communications,19,0.4634146341463415
Australia,ISS & Human Spaceflight,1,0.024390243902439025
Australia,Other,21,0.5121951219512195
Belgium,Communications,1,0.08333333333333333
Belgium,ISS & Human Spaceflight,4,0.3333333333333333
Belgium,Science & Technology,7,0.5833333333333334
Brazil,Communications,18,0.46153846153846156
Brazil,Earth Observation & Meteorology,6,0.15384615384615385
Brazil,Other,13,0.3333333333333333
Brazil,Science & Technology,2,0.05128205128205128
Bulgaria,Communications,1,0.25
Bulgaria,Earth Observation & Meteorology,2,0.5
Bulgaria,ISS & Human Spaceflight,1,0.25
Canada,Communications,20,0.2898550724637681
Canada,Earth Observation & Meteorology,3,0.043478260869565216
Canada,ISS & Human Spaceflight,13,0.18840579710144928
Canada,Navigation,7,0.10144927536231885
Canada,Other,16,0.2318840579710145
Canada,Science & Technology,10,0.14492753623188406
Chile,Communications,1,0.2
Chile,Earth Observation & Meteorology,2,0.4
Chile,Other,1,0.2
Chile,Science & Technology,1,0.2
China,Communications,97,0.07287753568745305
China,Earth Observation & Meteorology,301,0.2261457550713749
China,ISS & Human Spaceflight,17,0.012772351615326822
China,Navigation,60,0.045078888054094664
China,Other,781,0.5867768595041323
China,Science & Technology,75,0.056348610067618335
Czechia,Communications,2,0.2222222222222222
Czechia,ISS & Human Spaceflight,1,0.1111111111111111
Czechia,Other,3,0.3333333333333333
Czechia,Science & Technology,3,0.3333333333333333
Denmark,ISS & Human Spaceflight,7,0.7777777777777778
Denmark,Science & Technology,2,0.2222222222222222
Egypt,Communications,1,0.07692307692307693
Egypt,Earth Observation & Meteorology,3,0.23076923076923078
Egypt,Other,8,0.6153846153846154
Egypt,Science & Technology,1,0.07692307692307693
Finland,Earth Observation & Meteorology,21,0.7777777777777778
Finland,ISS & Human Spaceflight,1,0.037037037037037035
Finland,Other,3,0.1111111111111111
Finland,Science & Technology,2,0.07407407407407407
France,Communications,92,0.3108108108108108
France,Earth Observation & Meteorology,17,0.057432432432432436
France,ISS & Human Spaceflight,33,0.11148648648648649
