code,welsh_pct,Name
W06000011,0.112,Swansea
W06000019,0.062,Blaenau Gwent
W06000014,0.115,Vale of Glamorgan
W06000018,0.105,Caerphilly
W06000022,0.075,Newport
W06000012,0.135,Neath Port Talbot
W06000003,0.259,Conwy
W06000024,0.089,Merthyr Tydfil
W06000013,0.092,Bridgend
W06000023,0.164,Powys
W06000016,0.124,Rhondda Cynon Taf
W06000004,0.225,Denbighshire
W06000010,0.399,Carmarthenshire
W06000005,0.116,Flintshire
W06000020,0.082,Torfaen
W06000006,0.122,Wrexham
W06000001,0.558,Isle of Anglesey
W06000002,0.643,Gwynedd
W06000015,0.122,Cardiff
W06000008,0.453,Ceredigion
W06000021,0.087,Monmouthshire
W06000009,0.172,Pembrokeshire
